@relation bookkeeper
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
137,137,137,44,67,90,135,4,2,0,false
244,244,244,5,11,7,14,5,2,0,false
1026,1026,1026,23,46,-33,17,14,3,0,true
92,92,92,0,0,-5,1,3,3,0,true
180,180,180,0,0,-4,6,4,2,0,false
471,471,471,87,102,144,169,9,3,0,true
204,204,204,0,0,-54,1,5,3,0,true
551,551,551,9,11,26,35,7,3,0,true
149,149,149,0,0,-6,1,5,3,0,true
157,157,157,0,0,0,6,3,3,0,true
147,147,147,0,0,0,0,1,1,0,false
137,137,137,40,76,6,22,5,3,0,true
271,271,271,0,0,-18,-12,4,3,0,true
548,548,548,71,280,146,633,9,3,0,true
728,728,728,100,138,83,103,6,2,0,true
205,205,205,0,0,1,1,4,2,0,true
50,50,50,0,0,0,0,2,2,0,false
185,185,185,0,0,1,1,5,3,0,true
61,61,61,0,0,0,0,3,3,0,true
157,157,157,13,14,15,16,8,3,0,true
81,81,81,0,1,1,2,4,3,0,false
84,84,84,14,29,30,59,3,2,0,false
762,762,762,114,475,263,1088,12,3,0,true
248,248,248,4,10,5,22,7,3,0,true
169,169,169,0,1,2,12,9,3,0,true
196,196,196,0,1,0,2,6,3,0,true
67,67,67,0,0,0,0,4,3,0,false
165,165,165,0,0,-3,1,4,3,0,true
173,173,173,0,0,1,1,4,3,0,true
103,103,103,2,4,6,10,6,2,0,true
78,78,78,0,0,0,0,1,1,0,true
87,87,87,0,0,0,0,2,2,0,true
85,85,85,0,0,0,0,2,2,0,false
105,105,105,0,0,-36,-36,2,1,0,true
216,216,216,0,0,0,0,4,2,0,true
377,377,377,0,0,0,0,4,2,0,true
253,253,253,0,0,2,2,2,1,0,true
193,193,193,0,0,0,0,1,1,0,true
514,514,514,0,0,0,0,1,1,0,true
204,204,204,0,0,0,0,1,1,0,false
144,144,144,0,0,0,0,1,1,0,true
98,98,98,0,0,0,0,1,1,0,false
181,181,181,2,4,4,7,7,3,0,true
154,154,154,0,0,-56,-11,4,3,0,true
393,393,393,13,37,-53,-1,11,3,0,true
132,132,132,0,0,-75,-75,3,3,0,false
533,533,533,2,4,0,8,8,3,0,false
603,603,603,9,15,13,30,9,3,0,true
148,148,148,0,0,0,0,1,1,0,true
